,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3362,"Pinecrest, FL",Pinecrest,FL,18614,Pinecrest,9052674,Florida,FL,"Miami-Ft. Lauderdale, FL",528
3363,"Pinehurst, NC",Pinehurst,NC,12331,Pinehurst,1021263,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
3364,"Pinellas Park, FL",Pinellas Park,FL,47173,Pinellas Park,1015170,Florida,FL,"Tampa-St Petersburg (Sarasota), FL",539
3365,"Pinetop-Lakeside, AZ",Pinetop-Lakeside,AZ,4536,Pinetop-Lakeside,9052675,Arizona,AZ,"Phoenix, AZ",753
3366,"Pineville, LA",Pineville,LA,14776,Pineville,1018044,Louisiana,LA,"Alexandria, LA",644
3367,"Pineville, NC",Pineville,NC,6791,Pineville,1021266,North Carolina,NC,"Charlotte, NC",517
3368,"Pinole, CA",Pinole,CA,18808,Pinole,1014139,California,CA,"San Francisco-Oakland-San Jose, CA",807
3369,"Pinson, AL",Pinson,AL,6813,Pinson,1013103,Alabama,AL,"Birmingham, AL",630
3370,"Piqua, OH",Piqua,OH,20582,Piqua,1023937,Ohio,OH,"Dayton, OH",542
3371,"Pismo Beach, CA",Pismo Beach,CA,8573,Pismo Beach,1014140,California,CA,"Santa Barbara-Santa Maria-San Luis Obispo, CA",855
3372,"Pitman, NJ",Pitman,NJ,9206,Pitman,1022346,New Jersey,NJ,"Philadelphia, PA",504
3373,"Pittsburg, CA",Pittsburg,CA,64148,Pittsburg,1014141,California,CA,"San Francisco-Oakland-San Jose, CA",807
3374,"Pittsburg, KS",Pittsburg,KS,19649,Pittsburg,1017606,Kansas,KS,"Joplin, MO-Pittsburg, KS",603
3375,"Pittsburg, TX",Pittsburg,TX,4667,Pittsburg,1026692,Texas,TX,"Tyler-Longview(Lufkin & Nacogdoches), TX",709
3376,"Pittsburgh, PA",Pittsburgh,PA,310037,Pittsburgh,1025202,Pennsylvania,PA,"Pittsburgh, PA",508
3377,"Pittsfield, IL",Pittsfield,IL,4453,Pittsfield,1016773,Illinois,IL,"Quincy, IL-Hannibal, MO-Keokuk, IA",717
3378,"Pittsfield, MA",Pittsfield,MA,42652,Pittsfield,1018364,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
3379,"Pittston, PA",Pittston,PA,7547,Pittston,1025203,Pennsylvania,PA,"Wilkes Barre-Scranton, PA",577
3380,"Placentia, CA",Placentia,CA,49692,Placentia,1014143,California,CA,"Los Angeles, CA",803
3381,"Placerville, CA",Placerville,CA,9994,Placerville,1014144,California,CA,"Sacramento-Stockton-Modesto, CA",862
3382,"Plain City, UT",Plain City,UT,5288,Plain City,9052680,Utah,UT,"Salt Lake City, UT",770
3383,"Plainfield, IL",Plainfield,IL,36507,Plainfield,1016774,Illinois,IL,"Chicago, IL",602
3384,"Plainfield, IN",Plainfield,IN,27832,Plainfield,1017270,Indiana,IN,"Indianapolis, IN",527
3385,"Plainfield, NJ",Plainfield,NJ,46126,Plainfield,1022348,New Jersey,NJ,"New York, NY",501
3386,"Plainview, TX",Plainview,TX,21334,Plainview,1026694,Texas,TX,"Lubbock, TX",651
