"","DMA","scores","sd","count","Region","date"
"6",505,-0.05,0.78,628,"Detroit, MI",2015-06-24 17:22:17
"7",506,0.1,0.72,521,"Boston, MA-Manchester, NH",2015-06-24 17:22:17
"8",507,-0.1,0.78,58,"Savannah, GA",2015-06-24 17:22:17
"9",508,0.15,0.76,176,"Pittsburgh, PA",2015-06-24 17:22:17
"10",509,0.11,1.06,74,"Ft. Wayne, IN",2015-06-24 17:22:17
"11",510,0,0.93,626,"Cleveland-Akron (Canton), OH",2015-06-24 17:22:17
"12",511,0.1,0.79,532,"Washington, DC (Hagerstown, MD)",2015-06-24 17:22:17
"13",512,-0.13,0.8,232,"Baltimore, MD",2015-06-24 17:22:17
"14",513,0.03,0.87,55,"Flint-Saginaw-Bay City, MI",2015-06-24 17:22:17
"15",514,-0.01,0.77,170,"Buffalo, NY",2015-06-24 17:22:17
"16",515,0.03,0.88,171,"Cincinnati, OH",2015-06-24 17:22:17
"17",516,0.19,0.6,23,"Erie, PA",2015-06-24 17:22:17
"18",517,0.04,0.75,344,"Charlotte, NC",2015-06-24 17:22:17
"19",518,-0.06,0.79,183,"Greensboro-High Point-Winston Salem, NC",2015-06-24 17:22:17
"20",519,-0.13,1.32,55,"Charleston, SC",2015-06-24 17:22:17
"21",520,0.24,0.67,50,"Augusta, GA",2015-06-24 17:22:17
"22",521,0.07,1.11,93,"Providence, RI-New Bedford, MA",2015-06-24 17:22:17
"23",522,0.03,0.87,91,"Columbus, GA",2015-06-24 17:22:17
"24",523,0.06,0.59,13,"Burlington, VT-Plattsburgh, NY",2015-06-24 17:22:17
"25",524,0.08,0.68,531,"Atlanta, GA",2015-06-24 17:22:17
"26",525,-0.05,0.83,30,"Albany, GA",2015-06-24 17:22:17
"27",526,0,0.5,14,"Utica, NY",2015-06-24 17:22:17
"28",527,0.13,0.85,327,"Indianapolis, IN",2015-06-24 17:22:17
"29",528,0.06,0.74,616,"Miami-Ft. Lauderdale, FL",2015-06-24 17:22:17
"30",529,0.26,0.7,109,"Louisville, KY",2015-06-24 17:22:17
"31",530,-0.09,0.69,66,"Tallahassee, FL-Thomasville, GA",2015-06-24 17:22:17
"32",531,0.12,0.53,10,"Tri-Cities, TN-VA",2015-06-24 17:22:17
"33",532,0.13,0.67,53,"Albany-Schenectady-Troy, NY",2015-06-24 17:22:17
"34",533,-0.09,0.87,107,"Hartford & New Haven, CT",2015-06-24 17:22:17
"35",534,0.06,0.75,363,"Orlando-Daytona Beach-Melbourne, FL",2015-06-24 17:22:17
"36",535,0.13,0.67,332,"Columbus, OH",2015-06-24 17:22:17
"37",536,-0.11,0.84,49,"Youngstown, OH",2015-06-24 17:22:17
"38",537,0.63,0.73,7,"Bangor, ME",2015-06-24 17:22:17
"39",538,0.25,0.48,13,"Rochester, NY",2015-06-24 17:22:17
"40",539,0.07,0.82,236,"Tampa-St Petersburg (Sarasota), FL",2015-06-24 17:22:17
