"","DMA","scores","sd","count","Region","date"
"50",556,0,NA,1,"Richmond-Petersburg, VA","Tue Jun 30 23:21:29 2015"
"51",557,0.23,1.36,13,"Knoxville, TN","Tue Jun 30 23:21:29 2015"
"52",558,3,4.24,2,"Lima, OH","Tue Jun 30 23:21:29 2015"
"53",560,-0.27,1.77,56,"Raleigh-Durham (Fayetteville), NC","Tue Jun 30 23:21:29 2015"
"54",561,0.25,0.5,4,"Jacksonville, FL","Tue Jun 30 23:21:29 2015"
"55",563,-0.26,1.85,19,"Grand Rapids-Kalamazoo-Battle Creek, MI","Tue Jun 30 23:21:29 2015"
"56",564,-1.78,2.73,9,"Charleston-Huntington, WV","Tue Jun 30 23:21:29 2015"
"57",565,3,NA,1,"Elmira, NY","Tue Jun 30 23:21:29 2015"
"58",566,0.1,1.73,10,"Harrisburg-Lancaster-Lebanon-York, PA","Tue Jun 30 23:21:29 2015"
"59",567,0,0,17,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC","Tue Jun 30 23:21:29 2015"
"60",569,-1,NA,1,"Harrisonburg, VA","Tue Jun 30 23:21:29 2015"
"61",570,0,0,9,"Florence-Myrtle Beach, SC","Tue Jun 30 23:21:29 2015"
"62",571,0.25,0.5,4,"Ft. Myers-Naples, FL","Tue Jun 30 23:21:29 2015"
"63",573,-0.56,2.06,18,"Roanoke-Lynchburg, VA","Tue Jun 30 23:21:29 2015"
"64",574,-2.67,3.27,6,"Johnstown-Altoona, PA","Tue Jun 30 23:21:29 2015"
"65",575,1.43,1.81,7,"Chattanooga, TN","Tue Jun 30 23:21:29 2015"
"66",576,1,1.41,2,"Salisbury, MD","Tue Jun 30 23:21:29 2015"
"67",577,-0.33,0.58,3,"Wilkes Barre-Scranton, PA","Tue Jun 30 23:21:29 2015"
"68",581,0,0,2,"Terre Haute, IN","Tue Jun 30 23:21:29 2015"
"69",588,0.11,1.96,9,"South Bend-Elkhart, IN","Tue Jun 30 23:21:29 2015"
"70",592,0,0,4,"Gainesville, FL","Tue Jun 30 23:21:29 2015"
"71",597,0.5,1,4,"Parkersburg, WV","Tue Jun 30 23:21:29 2015"
"72",600,-0.04,2.63,53,"Corpus Christi, TX","Tue Jun 30 23:21:29 2015"
"73",602,-0.24,2.4,242,"Chicago, IL","Tue Jun 30 23:21:29 2015"
"74",603,-1.6,2.3,5,"Joplin, MO-Pittsburg, KS","Tue Jun 30 23:21:29 2015"
"75",604,3,NA,1,"Columbia-Jefferson City, MO","Tue Jun 30 23:21:29 2015"
"76",605,0.5,1.35,10,"Topeka, KS","Tue Jun 30 23:21:29 2015"
"77",606,4,NA,1,"Dothan, AL","Tue Jun 30 23:21:29 2015"
"78",609,0.54,1.84,28,"St. Louis, MO","Tue Jun 30 23:21:29 2015"
"79",610,-0.45,2.16,11,"Rockford, IL","Tue Jun 30 23:21:29 2015"
"80",612,0.5,1.89,18,"Shreveport, LA","Tue Jun 30 23:21:29 2015"
"81",613,-0.29,2.51,48,"Minneapolis-St. Paul, MN","Tue Jun 30 23:21:29 2015"
"82",616,-0.92,2.65,24,"Kansas City, MO","Tue Jun 30 23:21:29 2015"
"83",617,-0.02,1.72,54,"Milwaukee, WI","Tue Jun 30 23:21:29 2015"
"84",618,-0.08,2.34,305,"Houston, TX","Tue Jun 30 23:21:29 2015"
"85",619,1,1.41,2,"Springfield, MO","Tue Jun 30 23:21:29 2015"
"86",622,0.1,1.83,89,"New Orleans, LA","Tue Jun 30 23:21:29 2015"
"87",623,0,2.05,365,"Dallas-Ft. Worth, TX","Tue Jun 30 23:21:29 2015"
"88",624,1.4,1.95,5,"Sioux City, IA","Tue Jun 30 23:21:29 2015"
"89",625,0.09,1.96,32,"Waco-Temple-Bryan, TX","Tue Jun 30 23:21:29 2015"
"90",626,-2,NA,1,"Victoria, TX","Tue Jun 30 23:21:29 2015"
"91",627,-0.29,0.76,7,"Wichita Falls, TX & Lawton, OK","Tue Jun 30 23:21:29 2015"
